BUYER_STATE,BUYER_COUNTY,fips
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
GA,nan county,
