sumlev,state,county,region,division,ctyname,stname,census2000pop,estimatesbase2000,popestimate2000,popestimate2001,popestimate2002,popestimate2003,popestimate2004,popestimate2005,popestimate2006,births2000,births2001,births2002,births2003,births2004,births2005,births2006,deaths2000,deaths2001,deaths2002,deaths2003,deaths2004,deaths2005,deaths2006,internationalmig2000,internationalmig2001,internationalmig2002,internationalmig2003,internationalmig2004,internationalmig2005,internationalmig2006,internalmig2000,internalmig2001,internalmig2002,internalmig2003,internalmig2004,internalmig2005,internalmig2006,residual2000,residual2001,residual2002,residual2003,residual2004,residual2005,residual2006,gqestimatesbase2000,gqpopestimates2000,gqpopestimates2001,gqpopestimates2002,gqpopestimates2003,gqpopestimates2004,gqpopestimates2005,gqpopestimates2006
40,1,0,3,6,Alabama,Alabama,4447100,4447351,4452375,4466618,4477571,4495089,4517442,4548327,4599030,15064,62369,59551,58600,59555,59662,61007,10548,45252,45810,45894,46941,46340,47205,1578,5593,5022,3273,5241,4714,5116,-1181,-6676,-6344,4014,6383,14845,31600,111,-1791,-1466,-2475,-1885,-1996,185,114720,114720,116170,115299,115612,115250,115155,115155
50,1,1,3,6,Autauga County,Alabama,43671,43671,43911,44714,45536,46250,47376,48454,49730,145,635,593,614,636,659,712,78,354,367,401,396,379,384,8,2,-20,-65,35,4,19,164,547,631,585,894,823,940,1,-27,-15,-19,-43,-29,-11,260,260,260,260,260,260,260,260
50,1,3,3,6,Baldwin County,Alabama,140415,140415,141423,145013,148184,151714,156902,162749,169162,427,1890,1753,1796,1845,1877,2027,341,1348,1449,1471,1552,1556,1577,56,205,197,160,170,175,180,890,2819,2646,2958,4778,5324,5843,-24,24,24,87,-53,27,-60,2274,2274,2235,2232,2232,2232,2232,2232
50,1,5,3,6,Barbour County,Alabama,29038,29038,29044,28963,28925,28723,28445,28291,28171,85,430,377,358,312,344,343,70,325,333,295,283,279,289,9,49,47,43,40,42,43,-20,-214,-108,-284,-327,-244,-222,2,-21,-21,-24,-20,-17,5,2718,2718,2701,2893,2893,2893,2893,2893
50,1,7,3,6,Bibb County,Alabama,20826,19889,19939,21051,21031,21152,21254,21454,21482,67,272,297,247,275,252,243,59,194,214,221,235,221,208,3,8,6,3,7,7,8,38,1025,-95,108,66,176,-21,1,1,-14,-16,-11,-14,6,302,302,1198,1234,1234,1234,1234,1234
50,1,9,3,6,Blount County,Alabama,51024,51034,51229,52186,53077,54126,54939,55572,56436,165,685,678,662,690,662,655,86,482,510,556,514,532,568,27,106,105,94,90,92,93,93,673,640,860,586,444,686,-4,-25,-22,-11,-39,-33,-2,610,610,610,610,610,610,610,610
50,1,11,3,6,Bullock County,Alabama,11714,11626,11613,11409,11309,11284,11163,11011,10906,40,166,148,141,145,158,170,35,141,148,129,129,136,138,10,44,45,38,38,38,39,-27,-266,-142,-62,-166,-206,-177,-1,-7,-3,-13,-9,-6,1,1511,1511,1504,1541,1541,1541,1541,1541
50,1,13,3,6,Butler County,Alabama,21399,21399,21330,21142,20765,20704,20625,20642,20520,68,293,265,270,276,263,264,68,259,322,293,295,288,306,1,4,3,1,5,3,4,-70,-214,-313,-17,-55,51,-87,0,-12,-10,-22,-10,-12,3,265,265,265,265,265,265,265,265
50,1,15,3,6,Calhoun County,Alabama,112249,112243,111392,111178,111333,111826,111876,112242,112903,372,1561,1492,1411,1522,1546,1542,310,1392,1322,1215,1312,1290,1348,21,76,69,47,73,67,71,-921,-385,-10,356,-183,109,376,-13,-74,-74,-106,-50,-66,20,2428,2428,2418,2379,2379,2379,2379,2379
50,1,17,3,6,Chambers County,Alabama,36583,36583,36574,36386,36107,35719,35476,35373,35176,111,459,430,447,437,436,432,107,508,467,460,450,443,480,1,21,21,15,18,17,18,-16,-135,-244,-365,-227,-93,-170,2,-25,-19,-25,-21,-20,3,518,518,518,518,518,518,518,518
50,1,19,3,6,Cherokee County,Alabama,23988,23988,24059,24150,24309,24380,24452,24592,24863,71,286,269,263,267,266,243,66,236,292,277,304,266,252,4,17,17,12,14,14,16,62,42,175,93,109,140,265,0,-18,-10,-20,-14,-14,-1,360,360,360,360,360,360,360,360
50,1,21,3,6,Chilton County,Alabama,39593,39593,39805,40034,40477,40928,41301,41648,41953,138,555,505,554,531,545,582,87,379,409,439,458,487,514,5,52,52,46,37,33,34,160,33,313,316,289,281,197,-4,-32,-18,-26,-26,-25,6,351,351,351,351,351,351,351,351
50,1,23,3,6,Choctaw County,Alabama,15922,15922,15871,15717,15446,15295,15080,14727,14656,43,196,204,193,166,158,168,41,158,181,165,173,173,176,2,5,3,1,5,3,4,-51,-185,-286,-171,-202,-334,-71,-4,-12,-11,-9,-11,-7,4,133,133,133,133,133,133,133,133
50,1,25,3,6,Clarke County,Alabama,27867,27867,27842,27748,27489,27376,27265,27082,27248,100,433,363,352,352,340,371,60,298,306,254,290,282,273,0,-1,-1,-1,0,-1,0,-64,-208,-305,-187,-157,-225,64,-1,-20,-10,-23,-16,-15,4,387,387,387,387,387,387,387,387
50,1,27,3,6,Clay County,Alabama,14254,14254,14263,14251,14216,14170,14034,13920,13829,44,190,165,131,159,140,118,50,169,170,174,196,184,159,0,3,4,3,4,2,3,15,-27,-25,10,-93,-64,-56,0,-9,-9,-16,-10,-8,3,266,266,266,266,266,266,266,266
50,1,29,3,6,Cleburne County,Alabama,14123,14123,14174,14300,14544,14591,14486,14521,14700,47,188,161,154,170,179,174,35,144,158,195,177,175,172,3,13,12,13,11,13,14,35,81,231,85,-99,27,162,1,-12,-2,-10,-10,-9,1,113,113,113,113,113,113,113,113
50,1,31,3,6,Coffee County,Alabama,43615,43615,43556,43589,43965,44425,44973,45448,46027,136,541,526,556,564,591,617,114,443,432,452,496,478,451,27,44,-11,-123,110,35,71,-108,-80,314,494,400,355,340,0,-29,-21,-15,-30,-28,2,780,780,779,778,778,778,778,778
50,1,33,3,6,Colbert County,Alabama,54984,54984,55032,54912,54703,54522,54636,54597,54766,155,613,647,603,560,609,637,124,658,587,646,596,598,604,4,18,17,12,16,14,15,9,-49,-249,-84,164,-32,112,4,-44,-37,-66,-30,-32,9,592,592,592,592,592,592,592,592
