state,fips,year,County,population,deaths
ID,16001,2006,Ada County,363498,32
ID,16001,2007,Ada County,375368,32
ID,16001,2008,Ada County,382618,37
ID,16001,2009,Ada County,368791,44
ID,16001,2010,Ada County,380718,35
ID,16001,2011,Ada County,388174,45
ID,16001,2012,Ada County,394961,28
ID,16001,2013,Ada County,401673,55
ID,16001,2014,Ada County,409239,65
IN,18003,2006,Allen County,346314,19
IN,18003,2007,Allen County,349534,18
IN,18003,2008,Allen County,351264,22
IN,18003,2009,Allen County,348646,31
IN,18003,2010,Allen County,351332,33
IN,18003,2011,Allen County,353721,25
IN,18003,2012,Allen County,355940,33
IN,18003,2013,Allen County,358324,47
IN,18003,2014,Allen County,360990,51
IN,18035,2006,Delaware County,117326,18
IN,18035,2007,Delaware County,117229,11
IN,18035,2008,Delaware County,117007,16
IN,18035,2009,Delaware County,115548,24
IN,18035,2010,Delaware County,117344,11
IN,18035,2011,Delaware County,117413,16
IN,18035,2012,Delaware County,117459,13
IN,18035,2013,Delaware County,117575,17
IN,18035,2014,Delaware County,117441,29
IN,18067,2006,Howard County,83943,21
IN,18067,2007,Howard County,83743,24
IN,18067,2008,Howard County,83472,18
IN,18067,2009,Howard County,83685,14
IN,18067,2010,Howard County,83326,21
IN,18067,2011,Howard County,83094,17
IN,18067,2012,Howard County,82914,15
IN,18067,2013,Howard County,82795,21
IN,18067,2014,Howard County,82914,16
IN,18081,2006,Johnson County,130512,10
IN,18081,2007,Johnson County,133933,16
IN,18081,2008,Johnson County,136933,11
IN,18081,2009,Johnson County,136081,10
IN,18081,2010,Johnson County,135994,16
IN,18081,2011,Johnson County,138227,10
IN,18081,2012,Johnson County,140033,14
IN,18081,2013,Johnson County,141796,22
IN,18081,2014,Johnson County,143789,15
IN,18089,2006,Lake County,491432,28
IN,18089,2007,Lake County,493403,17
IN,18089,2008,Lake County,495479,29
IN,18089,2009,Lake County,491203,20
IN,18089,2010,Lake County,494417,13
IN,18089,2011,Lake County,495272,21
IN,18089,2012,Lake County,495230,25
IN,18089,2013,Lake County,494250,44
IN,18089,2014,Lake County,493140,50
IN,18095,2006,Madison County,131240,37
IN,18095,2007,Madison County,131203,22
IN,18095,2008,Madison County,131537,17
IN,18095,2009,Madison County,131015,33
IN,18095,2010,Madison County,131444,31
IN,18095,2011,Madison County,131445,42
IN,18095,2012,Madison County,131244,38
IN,18095,2013,Madison County,131027,16
IN,18095,2014,Madison County,130688,26
IN,18097,2006,Marion County,878515,114
IN,18097,2007,Marion County,883591,123
IN,18097,2008,Marion County,889504,148
IN,18097,2009,Marion County,878881,137
IN,18097,2010,Marion County,890976,151
IN,18097,2011,Marion County,897515,156
IN,18097,2012,Marion County,904535,192
IN,18097,2013,Marion County,912242,203
IN,18097,2014,Marion County,919336,245
IN,18127,2006,Porter County,158595,17
IN,18127,2007,Porter County,160835,11
IN,18127,2008,Porter County,162538,23
IN,18127,2009,Porter County,160073,16
IN,18127,2010,Porter County,162026,24
IN,18127,2011,Porter County,163406,23
IN,18127,2012,Porter County,164386,23
IN,18127,2013,Porter County,165168,32
IN,18127,2014,Porter County,165819,35
IN,18141,2006,St. Joseph County,265496,14
IN,18141,2007,St. Joseph County,266045,23
IN,18141,2008,St. Joseph County,267282,15
IN,18141,2009,St. Joseph County,266400,20
IN,18141,2010,St. Joseph County,266522,21
IN,18141,2011,St. Joseph County,266740,33
IN,18141,2012,St. Joseph County,266785,26
IN,18141,2013,St. Joseph County,266694,33
IN,18141,2014,St. Joseph County,266916,31
IN,18163,2006,Vanderburgh County,176822,20
IN,18163,2007,Vanderburgh County,177789,24
IN,18163,2008,Vanderburgh County,178053,45
IN,18163,2009,Vanderburgh County,174544,50
IN,18163,2010,Vanderburgh County,178298,50
IN,18163,2011,Vanderburgh County,178985,52
IN,18163,2012,Vanderburgh County,179610,41
IN,18163,2013,Vanderburgh County,180233,31
IN,18163,2014,Vanderburgh County,180877,39
MD,24003,2006,Anne Arundel County,517698,61
MD,24003,2007,Anne Arundel County,520503,68
MD,24003,2008,Anne Arundel County,525304,70
MD,24003,2009,Anne Arundel County,513711,74
MD,24003,2010,Anne Arundel County,527020,59
MD,24003,2011,Anne Arundel County,532369,72
MD,24003,2012,Anne Arundel County,538473,75
MD,24003,2013,Anne Arundel County,544426,97
MD,24003,2014,Anne Arundel County,550269,111
MD,24005,2006,Baltimore County,793733,132
MD,24005,2007,Baltimore County,796073,116
MD,24005,2008,Baltimore County,798651,127
MD,24005,2009,Baltimore County,786697,129
MD,24005,2010,Baltimore County,799195,120
MD,24005,2011,Baltimore County,802487,112
MD,24005,2012,Baltimore County,807318,159
