state,fips,year,County,population,deaths
ID,16001,2011,Ada County,388174,45
ID,16001,2012,Ada County,394961,28
ID,16001,2013,Ada County,401673,55
ID,16001,2014,Ada County,409239,65
IN,18003,2011,Allen County,353721,25
IN,18003,2012,Allen County,355940,33
IN,18003,2013,Allen County,358324,47
IN,18003,2014,Allen County,360990,51
IN,18035,2011,Delaware County,117413,16
IN,18035,2012,Delaware County,117459,13
IN,18035,2013,Delaware County,117575,17
IN,18035,2014,Delaware County,117441,29
IN,18067,2011,Howard County,83094,17
IN,18067,2012,Howard County,82914,15
IN,18067,2013,Howard County,82795,21
IN,18067,2014,Howard County,82914,16
IN,18081,2011,Johnson County,138227,10
IN,18081,2012,Johnson County,140033,14
IN,18081,2013,Johnson County,141796,22
IN,18081,2014,Johnson County,143789,15
IN,18089,2011,Lake County,495272,21
IN,18089,2012,Lake County,495230,25
IN,18089,2013,Lake County,494250,44
IN,18089,2014,Lake County,493140,50
IN,18095,2011,Madison County,131445,42
IN,18095,2012,Madison County,131244,38
IN,18095,2013,Madison County,131027,16
IN,18095,2014,Madison County,130688,26
IN,18097,2011,Marion County,897515,156
IN,18097,2012,Marion County,904535,192
IN,18097,2013,Marion County,912242,203
IN,18097,2014,Marion County,919336,245
IN,18127,2011,Porter County,163406,23
IN,18127,2012,Porter County,164386,23
IN,18127,2013,Porter County,165168,32
IN,18127,2014,Porter County,165819,35
IN,18141,2011,St. Joseph County,266740,33
IN,18141,2012,St. Joseph County,266785,26
IN,18141,2013,St. Joseph County,266694,33
IN,18141,2014,St. Joseph County,266916,31
IN,18163,2011,Vanderburgh County,178985,52
IN,18163,2012,Vanderburgh County,179610,41
IN,18163,2013,Vanderburgh County,180233,31
IN,18163,2014,Vanderburgh County,180877,39
LA,22017,2011,Caddo Parish,253924,26
LA,22017,2012,Caddo Parish,254970,14
LA,22017,2013,Caddo Parish,255551,22
LA,22017,2014,Caddo Parish,255529,15
LA,22019,2011,Calcasieu Parish,190891,16
LA,22019,2012,Calcasieu Parish,192307,22
LA,22019,2013,Calcasieu Parish,193528,19
LA,22019,2014,Calcasieu Parish,194943,25
LA,22033,2011,East Baton Rouge Parish,437401,24
LA,22033,2012,East Baton Rouge Parish,439662,28
LA,22033,2013,East Baton Rouge Parish,441901,52
LA,22033,2014,East Baton Rouge Parish,443598,56
LA,22051,2011,Jefferson Parish,432310,80
LA,22051,2012,Jefferson Parish,432706,84
LA,22051,2013,Jefferson Parish,433477,118
LA,22051,2014,Jefferson Parish,434528,104
LA,22055,2011,Lafayette Parish,218586,27
LA,22055,2012,Lafayette Parish,221602,31
LA,22055,2013,Lafayette Parish,224719,26
LA,22055,2014,Lafayette Parish,228084,31
LA,22063,2011,Livingston Parish,125732,33
LA,22063,2012,Livingston Parish,128192,24
LA,22063,2013,Livingston Parish,130192,36
LA,22063,2014,Livingston Parish,132160,29
LA,22071,2011,Orleans Parish,321409,40
LA,22071,2012,Orleans Parish,341407,65
LA,22071,2013,Orleans Parish,357013,113
LA,22071,2014,Orleans Parish,368471,104
LA,22103,2011,St. Tammany Parish,231629,39
LA,22103,2012,St. Tammany Parish,234283,40
LA,22103,2013,St. Tammany Parish,236832,66
LA,22103,2014,St. Tammany Parish,239814,63
LA,22109,2011,Terrebonne Parish,111518,17
LA,22109,2012,Terrebonne Parish,111666,18
LA,22109,2013,Terrebonne Parish,111868,22
LA,22109,2014,Terrebonne Parish,112167,22
MD,24003,2011,Anne Arundel County,532369,72
MD,24003,2012,Anne Arundel County,538473,75
MD,24003,2013,Anne Arundel County,544426,97
MD,24003,2014,Anne Arundel County,550269,111
MD,24005,2011,Baltimore County,802487,112
MD,24005,2012,Baltimore County,807318,159
MD,24005,2013,Baltimore County,812261,143
MD,24005,2014,Baltimore County,817720,189
MD,24015,2011,Cecil County,100716,29
MD,24015,2012,Cecil County,101109,25
MD,24015,2013,Cecil County,101435,16
MD,24015,2014,Cecil County,101803,33
MD,24021,2011,Frederick County,231725,20
MD,24021,2012,Frederick County,234268,21
MD,24021,2013,Frederick County,236668,25
MD,24021,2014,Frederick County,239253,32
MD,24025,2011,Harford County,243955,38
MD,24025,2012,Harford County,245396,44
MD,24025,2013,Harford County,246664,42
MD,24025,2014,Harford County,248029,41
MD,24027,2011,Howard County,283655,15
MD,24027,2012,Howard County,288676,18
MD,24027,2013,Howard County,293821,19
MD,24027,2014,Howard County,299269,14
MD,24031,2011,Montgomery County,959738,44
MD,24031,2012,Montgomery County,974824,49
MD,24031,2013,Montgomery County,989474,47
