state,fips,year,County,population,deaths
ID,16001,2006,Ada County,363498,32
ID,16001,2007,Ada County,375368,32
ID,16001,2008,Ada County,382618,37
ID,16001,2009,Ada County,368791,44
ID,16001,2010,Ada County,380718,35
IN,18003,2006,Allen County,346314,19
IN,18003,2007,Allen County,349534,18
IN,18003,2008,Allen County,351264,22
IN,18003,2009,Allen County,348646,31
IN,18003,2010,Allen County,351332,33
IN,18035,2006,Delaware County,117326,18
IN,18035,2007,Delaware County,117229,11
IN,18035,2008,Delaware County,117007,16
IN,18035,2009,Delaware County,115548,24
IN,18035,2010,Delaware County,117344,11
IN,18067,2006,Howard County,83943,21
IN,18067,2007,Howard County,83743,24
IN,18067,2008,Howard County,83472,18
IN,18067,2009,Howard County,83685,14
IN,18067,2010,Howard County,83326,21
IN,18081,2006,Johnson County,130512,10
IN,18081,2007,Johnson County,133933,16
IN,18081,2008,Johnson County,136933,11
IN,18081,2009,Johnson County,136081,10
IN,18081,2010,Johnson County,135994,16
IN,18089,2006,Lake County,491432,28
IN,18089,2007,Lake County,493403,17
IN,18089,2008,Lake County,495479,29
IN,18089,2009,Lake County,491203,20
IN,18089,2010,Lake County,494417,13
IN,18095,2006,Madison County,131240,37
IN,18095,2007,Madison County,131203,22
IN,18095,2008,Madison County,131537,17
IN,18095,2009,Madison County,131015,33
IN,18095,2010,Madison County,131444,31
IN,18097,2006,Marion County,878515,114
IN,18097,2007,Marion County,883591,123
IN,18097,2008,Marion County,889504,148
IN,18097,2009,Marion County,878881,137
IN,18097,2010,Marion County,890976,151
IN,18127,2006,Porter County,158595,17
IN,18127,2007,Porter County,160835,11
IN,18127,2008,Porter County,162538,23
IN,18127,2009,Porter County,160073,16
IN,18127,2010,Porter County,162026,24
IN,18141,2006,St. Joseph County,265496,14
IN,18141,2007,St. Joseph County,266045,23
IN,18141,2008,St. Joseph County,267282,15
IN,18141,2009,St. Joseph County,266400,20
IN,18141,2010,St. Joseph County,266522,21
IN,18163,2006,Vanderburgh County,176822,20
IN,18163,2007,Vanderburgh County,177789,24
IN,18163,2008,Vanderburgh County,178053,45
IN,18163,2009,Vanderburgh County,174544,50
IN,18163,2010,Vanderburgh County,178298,50
LA,22017,2006,Caddo Parish,252740,28
LA,22017,2007,Caddo Parish,251760,32
LA,22017,2008,Caddo Parish,251953,17
LA,22017,2009,Caddo Parish,252467,24
LA,22017,2010,Caddo Parish,253048,20
LA,22019,2006,Calcasieu Parish,185350,54
LA,22019,2007,Calcasieu Parish,187081,53
LA,22019,2008,Calcasieu Parish,188928,21
LA,22019,2009,Calcasieu Parish,185017,27
LA,22019,2010,Calcasieu Parish,189134,19
LA,22033,2006,East Baton Rouge Parish,433474,34
LA,22033,2007,East Baton Rouge Parish,433344,34
LA,22033,2008,East Baton Rouge Parish,433723,30
LA,22033,2009,East Baton Rouge Parish,427820,29
LA,22033,2010,East Baton Rouge Parish,435815,31
LA,22051,2006,Jefferson Parish,426285,115
LA,22051,2007,Jefferson Parish,432683,117
LA,22051,2008,Jefferson Parish,431759,81
LA,22051,2009,Jefferson Parish,440134,71
LA,22051,2010,Jefferson Parish,431019,58
LA,22055,2006,Lafayette Parish,209424,35
LA,22055,2007,Lafayette Parish,211826,31
LA,22055,2008,Lafayette Parish,215139,25
LA,22055,2009,Lafayette Parish,204963,26
LA,22055,2010,Lafayette Parish,215581,30
LA,22063,2006,Livingston Parish,115722,25
LA,22063,2007,Livingston Parish,119528,25
LA,22063,2008,Livingston Parish,123962,32
LA,22063,2009,Livingston Parish,116476,26
LA,22063,2010,Livingston Parish,122798,35
LA,22071,2006,Orleans Parish,230172,32
LA,22071,2007,Orleans Parish,268751,46
LA,22071,2008,Orleans Parish,301842,50
LA,22071,2009,Orleans Parish,328669,45
LA,22071,2010,Orleans Parish,295285,17
LA,22103,2006,St. Tammany Parish,223133,64
LA,22103,2007,St. Tammany Parish,226294,63
LA,22103,2008,St. Tammany Parish,229252,51
LA,22103,2009,St. Tammany Parish,225533,36
LA,22103,2010,St. Tammany Parish,228894,42
LA,22109,2006,Terrebonne Parish,109994,20
LA,22109,2007,Terrebonne Parish,110656,16
LA,22109,2008,Terrebonne Parish,111453,14
LA,22109,2009,Terrebonne Parish,108277,12
LA,22109,2010,Terrebonne Parish,111131,22
MD,24003,2006,Anne Arundel County,517698,61
MD,24003,2007,Anne Arundel County,520503,68
MD,24003,2008,Anne Arundel County,525304,70
MD,24003,2009,Anne Arundel County,513711,74
MD,24003,2010,Anne Arundel County,527020,59
MD,24005,2006,Baltimore County,793733,132
MD,24005,2007,Baltimore County,796073,116
MD,24005,2008,Baltimore County,798651,127
