state,fips,year,County,population,deaths
DE,10003,2006,New Castle County,527174,41
DE,10003,2007,New Castle County,530555,50
DE,10003,2008,New Castle County,533958,67
DE,10003,2009,New Castle County,527774,75
DE,10003,2010,New Castle County,533514,70
DE,10003,2011,New Castle County,536478,82
DE,10003,2012,New Castle County,539665,76
DE,10003,2013,New Castle County,542784,88
DE,10003,2014,New Castle County,545846,106
FL,12009,2006,Brevard County,535138,107
FL,12009,2007,Brevard County,539719,104
FL,12009,2008,Brevard County,542378,121
FL,12009,2009,Brevard County,532697,135
FL,12009,2010,Brevard County,540583,135
FL,12009,2011,Brevard County,542320,123
FL,12009,2012,Brevard County,544019,113
FL,12009,2013,Brevard County,545667,106
FL,12009,2014,Brevard County,548891,111
FL,12011,2006,Broward County,1739348,258
FL,12011,2007,Broward County,1720825,262
FL,12011,2008,Broward County,1723633,313
FL,12011,2009,Broward County,1759132,305
FL,12011,2010,Broward County,1734139,262
FL,12011,2011,Broward County,1742012,233
FL,12011,2012,Broward County,1761993,228
FL,12011,2013,Broward County,1784889,199
FL,12011,2014,Broward County,1815269,220
FL,12017,2006,Citrus County,137826,23
FL,12017,2007,Citrus County,140974,17
FL,12017,2008,Citrus County,142122,25
FL,12017,2009,Citrus County,138161,19
FL,12017,2010,Citrus County,140686,27
FL,12017,2011,Citrus County,141157,29
FL,12017,2012,Citrus County,140805,37
FL,12017,2013,Citrus County,140214,24
FL,12017,2014,Citrus County,139771,24
FL,12019,2006,Clay County,178339,15
FL,12019,2007,Clay County,184256,26
FL,12019,2008,Clay County,187289,19
FL,12019,2009,Clay County,179850,29
FL,12019,2010,Clay County,186076,20
FL,12019,2011,Clay County,188890,23
FL,12019,2012,Clay County,190891,28
FL,12019,2013,Clay County,192665,31
FL,12019,2014,Clay County,194868,26
FL,12021,2006,Collier County,312621,43
FL,12021,2007,Collier County,314437,38
FL,12021,2008,Collier County,316641,63
FL,12021,2009,Collier County,313165,54
FL,12021,2010,Collier County,316931,36
FL,12021,2011,Collier County,320087,41
FL,12021,2012,Collier County,323548,31
FL,12021,2013,Collier County,328209,29
FL,12021,2014,Collier County,334474,41
FL,12031,2006,Duval County,842098,146
FL,12031,2007,Duval County,851033,140
FL,12031,2008,Duval County,855437,108
FL,12031,2009,Duval County,846385,137
FL,12031,2010,Duval County,854848,146
FL,12031,2011,Duval County,860479,147
FL,12031,2012,Duval County,866431,165
FL,12031,2013,Duval County,872598,142
FL,12031,2014,Duval County,880750,146
FL,12033,2006,Escambia County,300395,45
FL,12033,2007,Escambia County,297393,31
FL,12033,2008,Escambia County,296854,28
FL,12033,2009,Escambia County,303292,16
FL,12033,2010,Escambia County,297940,25
FL,12033,2011,Escambia County,297668,29
FL,12033,2012,Escambia County,298864,25
FL,12033,2013,Escambia County,300795,17
FL,12033,2014,Escambia County,304099,35
FL,12053,2006,Hernando County,164398,25
FL,12053,2007,Hernando County,169891,36
FL,12053,2008,Hernando County,172437,45
FL,12053,2009,Hernando County,166338,43
FL,12053,2010,Hernando County,170337,50
FL,12053,2011,Hernando County,172079,33
FL,12053,2012,Hernando County,172784,25
FL,12053,2013,Hernando County,173119,38
FL,12053,2014,Hernando County,173792,25
FL,12057,2006,Hillsborough County,1171826,185
FL,12057,2007,Hillsborough County,1184686,257
FL,12057,2008,Hillsborough County,1196773,244
FL,12057,2009,Hillsborough County,1167116,270
FL,12057,2010,Hillsborough County,1200236,259
FL,12057,2011,Hillsborough County,1219331,242
FL,12057,2012,Hillsborough County,1238365,185
FL,12057,2013,Hillsborough County,1257913,163
FL,12057,2014,Hillsborough County,1279668,163
FL,12061,2006,Indian River County,131463,23
FL,12061,2007,Indian River County,134564,22
FL,12061,2008,Indian River County,136277,29
FL,12061,2009,Indian River County,131811,31
FL,12061,2010,Indian River County,135518,18
FL,12061,2011,Indian River County,137004,25
FL,12061,2012,Indian River County,138203,17
FL,12061,2013,Indian River County,139356,11
FL,12061,2014,Indian River County,140918,22
FL,12069,2006,Lake County,281329,16
FL,12069,2007,Lake County,289909,20
FL,12069,2008,Lake County,293654,24
FL,12069,2009,Lake County,297828,32
FL,12069,2010,Lake County,291671,34
FL,12069,2011,Lake County,295594,38
FL,12069,2012,Lake County,297995,26
FL,12069,2013,Lake County,300926,22
FL,12069,2014,Lake County,305010,40
FL,12071,2006,Lee County,582678,98
FL,12071,2007,Lee County,604716,98
FL,12071,2008,Lee County,610984,95
FL,12071,2009,Lee County,573676,93
FL,12071,2010,Lee County,606165,106
FL,12071,2011,Lee County,615955,96
FL,12071,2012,Lee County,624155,67
FL,12071,2013,Lee County,633968,60
FL,12071,2014,Lee County,647554,86
FL,12081,2006,Manatee County,313771,54
FL,12081,2007,Manatee County,316410,46
FL,12081,2008,Manatee County,318766,45
FL,12081,2009,Manatee County,313011,74
FL,12081,2010,Manatee County,318619,76
FL,12081,2011,Manatee County,321296,73
FL,12081,2012,Manatee County,324834,40
FL,12081,2013,Manatee County,329487,69
FL,12081,2014,Manatee County,335840,91
FL,12083,2006,Marion County,316310,55
FL,12083,2007,Marion County,325634,30
FL,12083,2008,Marion County,330052,38
FL,12083,2009,Marion County,318886,53
FL,12083,2010,Marion County,326833,51
FL,12083,2011,Marion County,330100,46
FL,12083,2012,Marion County,331987,44
FL,12083,2013,Marion County,333503,45
FL,12083,2014,Marion County,334771,57
FL,12085,2006,Martin County,141802,17
FL,12085,2007,Martin County,143542,27
FL,12085,2008,Martin County,144369,22
FL,12085,2009,Martin County,138791,24
FL,12085,2010,Martin County,144322,20
FL,12085,2011,Martin County,145480,22
FL,12085,2012,Martin County,146497,17
FL,12085,2013,Martin County,147786,18
FL,12085,2014,Martin County,149658,16
FL,12086,2006,Miami-Dade County,2405911,142
FL,12086,2007,Miami-Dade County,2415576,149
FL,12086,2008,Miami-Dade County,2436062,149
FL,12086,2009,Miami-Dade County,2457044,155
FL,12086,2010,Miami-Dade County,2445374,98
FL,12086,2011,Miami-Dade County,2474676,122
FL,12086,2012,Miami-Dade County,2512219,135
FL,12086,2013,Miami-Dade County,2549075,110
FL,12086,2014,Miami-Dade County,2600861,139
FL,12095,2006,Orange County,1083429,108
FL,12095,2007,Orange County,1100663,110
FL,12095,2008,Orange County,1115525,120
FL,12095,2009,Orange County,1062344,120
FL,12095,2010,Orange County,1116094,149
FL,12095,2011,Orange County,1133087,148
FL,12095,2012,Orange County,1153795,131
FL,12095,2013,Orange County,1175416,122
FL,12095,2014,Orange County,1200241,177
FL,12097,2006,Osceola County,242081,13
FL,12097,2007,Osceola County,253722,26
FL,12097,2008,Osceola County,261746,18
FL,12097,2009,Osceola County,254739,15
FL,12097,2010,Osceola County,258531,22
FL,12097,2011,Osceola County,265328,35
FL,12097,2012,Osceola County,272355,29
FL,12097,2013,Osceola County,279837,27
FL,12097,2014,Osceola County,289449,36
FL,12099,2006,Palm Beach County,1284489,211
FL,12099,2007,Palm Beach County,1286586,262
FL,12099,2008,Palm Beach County,1294938,271
FL,12099,2009,Palm Beach County,1268601,276
FL,12099,2010,Palm Beach County,1299356,230
FL,12099,2011,Palm Beach County,1309401,203
FL,12099,2012,Palm Beach County,1324085,185
FL,12099,2013,Palm Beach County,1339221,233
FL,12099,2014,Palm Beach County,1359074,236
FL,12101,2006,Pasco County,439529,101
FL,12101,2007,Pasco County,453579,125
FL,12101,2008,Pasco County,461313,147
FL,12101,2009,Pasco County,453933,166
