state,fips,year,County,population,deaths
DE,10003,2011,New Castle County,536478.0,82
DE,10003,2012,New Castle County,539665.0,76
DE,10003,2013,New Castle County,542784.0,88
DE,10003,2014,New Castle County,545846.0,106
FL,12009,2011,Brevard County,542320.0,123
FL,12009,2012,Brevard County,544019.0,113
FL,12009,2013,Brevard County,545667.0,106
FL,12009,2014,Brevard County,548891.0,111
FL,12011,2011,Broward County,1742012.0,233
FL,12011,2012,Broward County,1761993.0,228
FL,12011,2013,Broward County,1784889.0,199
FL,12011,2014,Broward County,1815269.0,220
FL,12017,2011,Citrus County,141157.0,29
FL,12017,2012,Citrus County,140805.0,37
FL,12017,2013,Citrus County,140214.0,24
FL,12017,2014,Citrus County,139771.0,24
FL,12019,2011,Clay County,188890.0,23
FL,12019,2012,Clay County,190891.0,28
FL,12019,2013,Clay County,192665.0,31
FL,12019,2014,Clay County,194868.0,26
FL,12021,2011,Collier County,320087.0,41
FL,12021,2012,Collier County,323548.0,31
FL,12021,2013,Collier County,328209.0,29
FL,12021,2014,Collier County,334474.0,41
FL,12031,2011,Duval County,860479.0,147
FL,12031,2012,Duval County,866431.0,165
FL,12031,2013,Duval County,872598.0,142
FL,12031,2014,Duval County,880750.0,146
FL,12033,2011,Escambia County,297668.0,29
FL,12033,2012,Escambia County,298864.0,25
FL,12033,2013,Escambia County,300795.0,17
FL,12033,2014,Escambia County,304099.0,35
FL,12053,2011,Hernando County,172079.0,33
FL,12053,2012,Hernando County,172784.0,25
FL,12053,2013,Hernando County,173119.0,38
FL,12053,2014,Hernando County,173792.0,25
FL,12057,2011,Hillsborough County,1219331.0,242
FL,12057,2012,Hillsborough County,1238365.0,185
FL,12057,2013,Hillsborough County,1257913.0,163
FL,12057,2014,Hillsborough County,1279668.0,163
FL,12061,2011,Indian River County,137004.0,25
FL,12061,2012,Indian River County,138203.0,17
FL,12061,2013,Indian River County,139356.0,11
FL,12061,2014,Indian River County,140918.0,22
FL,12069,2011,Lake County,295594.0,38
FL,12069,2012,Lake County,297995.0,26
FL,12069,2013,Lake County,300926.0,22
