state,fips,year,County,population,Deaths
DE,10003,2006,New Castle County,527174.0,41.0
DE,10003,2007,New Castle County,530555.0,50.0
DE,10003,2008,New Castle County,533958.0,67.0
DE,10003,2009,New Castle County,527774.0,60.015.0
DE,10003,2010,New Castle County,533514.0,70.0
FL,12009,2006,Brevard County,535138.0,81.016.010.0
FL,12009,2007,Brevard County,539719.0,84.020.0
FL,12009,2008,Brevard County,542378.0,109.012.0
FL,12009,2009,Brevard County,532697.0,122.013.0
FL,12009,2010,Brevard County,540583.0,119.016.0
FL,12011,2006,Broward County,1739348.0,215.033.010.0
FL,12011,2007,Broward County,1720825.0,222.040.0
FL,12011,2008,Broward County,1723633.0,242.057.014.0
FL,12011,2009,Broward County,1759132.0,242.047.016.0
FL,12011,2010,Broward County,1734139.0,205.042.015.0
FL,12017,2006,Citrus County,137826.0,23.0
FL,12017,2007,Citrus County,140974.0,17.0
FL,12017,2008,Citrus County,142122.0,25.0
FL,12017,2009,Citrus County,138161.0,19.0
FL,12017,2010,Citrus County,140686.0,27.0
FL,12019,2006,Clay County,178339.0,15.0
FL,12019,2007,Clay County,184256.0,26.0
FL,12019,2008,Clay County,187289.0,19.0
FL,12019,2009,Clay County,179850.0,29.0
FL,12019,2010,Clay County,186076.0,20.0
FL,12021,2006,Collier County,312621.0,43.0
FL,12021,2007,Collier County,314437.0,38.0
FL,12021,2008,Collier County,316641.0,50.013.0
FL,12021,2009,Collier County,313165.0,42.012.0
FL,12021,2010,Collier County,316931.0,36.0
FL,12031,2006,Duval County,842098.0,124.022.0
FL,12031,2007,Duval County,851033.0,124.016.0
FL,12031,2008,Duval County,855437.0,89.019.0
FL,12031,2009,Duval County,846385.0,115.022.0
FL,12031,2010,Duval County,854848.0,120.026.0
FL,12033,2006,Escambia County,300395.0,45.0
FL,12033,2007,Escambia County,297393.0,31.0
FL,12033,2008,Escambia County,296854.0,28.0
FL,12033,2009,Escambia County,303292.0,16.0
FL,12033,2010,Escambia County,297940.0,25.0
FL,12053,2006,Hernando County,164398.0,25.0
FL,12053,2007,Hernando County,169891.0,36.0
FL,12053,2008,Hernando County,172437.0,45.0
FL,12053,2009,Hernando County,166338.0,43.0
