state,fips,year,County,population,deaths
CA,6001,2003,Alameda County,1459268,107
CA,6001,2004,Alameda County,1452735,132
CA,6001,2005,Alameda County,1451065,160
CA,6001,2006,Alameda County,1444484,163
CA,6001,2007,Alameda County,1455715,185
CA,6001,2008,Alameda County,1477208,157
CA,6001,2009,Alameda County,1457095,143
CA,6001,2010,Alameda County,1477980,131
CA,6001,2011,Alameda County,1494876,167
CA,6001,2012,Alameda County,1515136,133
CA,6001,2013,Alameda County,1535248,174
CA,6001,2014,Alameda County,1559308,165
CA,6007,2003,Butte County,210985,40
CA,6007,2004,Butte County,212609,31
CA,6007,2005,Butte County,214153,25
CA,6007,2006,Butte County,216824,62
CA,6007,2007,Butte County,217469,58
CA,6007,2008,Butte County,219034,58
CA,6007,2009,Butte County,217917,59
CA,6007,2010,Butte County,218635,84
CA,6007,2011,Butte County,219309,76
CA,6007,2012,Butte County,220101,67
CA,6007,2013,Butte County,220542,54
CA,6007,2014,Butte County,221578,70
CA,6013,2003,Contra Costa County,999196,64
CA,6013,2004,Contra Costa County,1007254,92
CA,6013,2005,Contra Costa County,1017644,103
CA,6013,2006,Contra Costa County,1000834,74
CA,6013,2007,Contra Costa County,1009152,100
CA,6013,2008,Contra Costa County,1023344,111
CA,6013,2009,Contra Costa County,1015571,93
CA,6013,2010,Contra Costa County,1024809,91
CA,6013,2011,Contra Costa County,1037817,122
CA,6013,2012,Contra Costa County,1052047,122
CA,6013,2013,Contra Costa County,1065794,140
CA,6013,2014,Contra Costa County,1081232,126
CA,6017,2003,El Dorado County,168986,10
CA,6017,2004,El Dorado County,172638,13
CA,6017,2005,El Dorado County,176319,20
CA,6017,2006,El Dorado County,176773,25
CA,6017,2007,El Dorado County,177694,33
CA,6017,2008,El Dorado County,179150,28
CA,6017,2009,El Dorado County,175941,34
CA,6017,2010,El Dorado County,179053,35
CA,6017,2011,El Dorado County,179878,30
CA,6017,2012,El Dorado County,180441,30
CA,6017,2013,El Dorado County,180982,32
CA,6017,2014,El Dorado County,181465,47
CA,6019,2003,Fresno County,850360,66
CA,6019,2004,Fresno County,865468,85
CA,6019,2005,Fresno County,878089,83
CA,6019,2006,Fresno County,883862,87
CA,6019,2007,Fresno County,895933,90
CA,6019,2008,Fresno County,909630,93
CA,6019,2009,Fresno County,890750,101
CA,6019,2010,Fresno County,908830,96
CA,6019,2011,Fresno County,920623,89
CA,6019,2012,Fresno County,930517,67
CA,6019,2013,Fresno County,939605,88
CA,6019,2014,Fresno County,948844,128
CA,6023,2003,Humboldt County,127753,38
CA,6023,2004,Humboldt County,128232,25
CA,6023,2005,Humboldt County,128359,36
CA,6023,2006,Humboldt County,132093,36
CA,6023,2007,Humboldt County,132001,39
CA,6023,2008,Humboldt County,132657,43
CA,6023,2009,Humboldt County,129003,34
CA,6023,2010,Humboldt County,133058,39
CA,6023,2011,Humboldt County,133585,48
CA,6023,2012,Humboldt County,134317,41
CA,6023,2013,Humboldt County,134613,35
CA,6023,2014,Humboldt County,134876,34
CA,6029,2003,Kern County,712860,97
CA,6029,2004,Kern County,733784,90
CA,6029,2005,Kern County,756981,84
CA,6029,2006,Kern County,784511,108
CA,6029,2007,Kern County,803281,119
CA,6029,2008,Kern County,818327,108
CA,6029,2009,Kern County,780953,129
CA,6029,2010,Kern County,815693,134
CA,6029,2011,Kern County,829254,145
CA,6029,2012,Kern County,839153,151
CA,6029,2013,Kern County,848204,174
CA,6029,2014,Kern County,857730,208
CA,6037,2003,Los Angeles County,9862088,730
CA,6037,2004,Los Angeles County,9917538,665
CA,6037,2005,Los Angeles County,9941197,639
CA,6037,2006,Los Angeles County,9737955,687
CA,6037,2007,Los Angeles County,9700359,752
CA,6037,2008,Los Angeles County,9735147,706
CA,6037,2009,Los Angeles County,9785295,765
CA,6037,2010,Los Angeles County,9758256,697
CA,6037,2011,Los Angeles County,9787747,684
CA,6037,2012,Los Angeles County,9840024,677
CA,6037,2013,Los Angeles County,9893481,815
CA,6037,2014,Los Angeles County,9974203,733
CA,6041,2003,Marin County,246627,19
CA,6041,2004,Marin County,245884,16
CA,6041,2005,Marin County,247103,16
CA,6041,2006,Marin County,244580,24
CA,6041,2007,Marin County,246248,40
CA,6041,2008,Marin County,248398,14
CA,6041,2009,Marin County,246711,33
CA,6041,2010,Marin County,248601,28
CA,6041,2011,Marin County,250666,13
CA,6041,2012,Marin County,252759,37
CA,6041,2013,Marin County,254643,39
CA,6041,2014,Marin County,256802,10
CA,6053,2003,Monterey County,414644,29
CA,6053,2004,Monterey County,414538,43
CA,6053,2005,Monterey County,412340,40
CA,6053,2006,Monterey County,401831,41
CA,6053,2007,Monterey County,402376,15
CA,6053,2008,Monterey County,406022,43
CA,6053,2009,Monterey County,404922,33
CA,6053,2010,Monterey County,407435,36
CA,6053,2011,Monterey County,411385,37
