state,fips,year,County,population,deaths
CA,6001,2007,Alameda County,1455715,185
CA,6001,2008,Alameda County,1477208,157
CA,6001,2009,Alameda County,1457095,143
CA,6001,2010,Alameda County,1477980,131
CA,6001,2011,Alameda County,1494876,167
CA,6001,2012,Alameda County,1515136,133
CA,6001,2013,Alameda County,1535248,174
CA,6001,2014,Alameda County,1559308,165
CA,6005,2009,Amador County,38039,13
CA,6005,2014,Amador County,37159,11
CA,6007,2007,Butte County,217469,58
CA,6007,2008,Butte County,219034,58
CA,6007,2009,Butte County,217917,59
CA,6007,2010,Butte County,218635,84
CA,6007,2011,Butte County,219309,76
CA,6007,2012,Butte County,220101,67
CA,6007,2013,Butte County,220542,54
CA,6007,2014,Butte County,221578,70
CA,6009,2011,Calaveras County,45794,10
CA,6013,2007,Contra Costa County,1009152,100
CA,6013,2008,Contra Costa County,1023344,111
CA,6013,2009,Contra Costa County,1015571,93
CA,6013,2010,Contra Costa County,1024809,91
CA,6013,2011,Contra Costa County,1037817,122
CA,6013,2012,Contra Costa County,1052047,122
CA,6013,2013,Contra Costa County,1065794,140
CA,6013,2014,Contra Costa County,1081232,126
CA,6017,2007,El Dorado County,177694,33
CA,6017,2008,El Dorado County,179150,28
CA,6017,2009,El Dorado County,175941,34
CA,6017,2010,El Dorado County,179053,35
CA,6017,2011,El Dorado County,179878,30
CA,6017,2012,El Dorado County,180441,30
CA,6017,2013,El Dorado County,180982,32
CA,6017,2014,El Dorado County,181465,47
CA,6019,2007,Fresno County,895933,90
CA,6019,2008,Fresno County,909630,93
CA,6019,2009,Fresno County,890750,101
CA,6019,2010,Fresno County,908830,96
CA,6019,2011,Fresno County,920623,89
CA,6019,2012,Fresno County,930517,67
CA,6019,2013,Fresno County,939605,88
CA,6019,2014,Fresno County,948844,128
CA,6023,2007,Humboldt County,132001,39
CA,6023,2008,Humboldt County,132657,43
CA,6023,2009,Humboldt County,129003,34
CA,6023,2010,Humboldt County,133058,39
CA,6023,2011,Humboldt County,133585,48
CA,6023,2012,Humboldt County,134317,41
CA,6023,2013,Humboldt County,134613,35
CA,6023,2014,Humboldt County,134876,34
CA,6025,2007,Imperial County,164596,19
CA,6025,2008,Imperial County,167917,11
CA,6025,2009,Imperial County,160034,13
CA,6025,2011,Imperial County,171343,21
CA,6025,2012,Imperial County,173487,19
CA,6025,2013,Imperial County,175201,29
CA,6025,2014,Imperial County,177026,26
CA,6029,2007,Kern County,803281,119
CA,6029,2008,Kern County,818327,108
CA,6029,2009,Kern County,780953,129
CA,6029,2010,Kern County,815693,134
CA,6029,2011,Kern County,829254,145
CA,6029,2012,Kern County,839153,151
CA,6029,2013,Kern County,848204,174
CA,6029,2014,Kern County,857730,208
CA,6031,2007,Kings County,150420,16
CA,6031,2008,Kings County,152027,11
CA,6031,2010,Kings County,151122,11
CA,6031,2011,Kings County,152335,13
CA,6031,2013,Kings County,151806,20
CA,6031,2014,Kings County,151390,23
CA,6033,2007,Lake County,64077,14
CA,6033,2008,Lake County,64392,13
CA,6033,2009,Lake County,64756,21
CA,6033,2010,Lake County,64371,31
CA,6033,2011,Lake County,64392,28
CA,6033,2012,Lake County,64360,19
CA,6033,2013,Lake County,64260,27
CA,6033,2014,Lake County,64209,30
CA,6035,2010,Lassen County,35081,11
CA,6035,2011,Lassen County,35001,10
CA,6035,2014,Lassen County,33356,10
CA,6037,2007,Los Angeles County,9700359,752
CA,6037,2008,Los Angeles County,9735147,706
CA,6037,2009,Los Angeles County,9785295,765
CA,6037,2010,Los Angeles County,9758256,697
CA,6037,2011,Los Angeles County,9787747,684
CA,6037,2012,Los Angeles County,9840024,677
CA,6037,2013,Los Angeles County,9893481,815
CA,6037,2014,Los Angeles County,9974203,733
CA,6039,2008,Madera County,148359,11
CA,6039,2010,Madera County,147738,11
CA,6039,2011,Madera County,149611,20
CA,6039,2012,Madera County,150615,20
CA,6039,2013,Madera County,151435,18
CA,6039,2014,Madera County,152452,18
CA,6041,2007,Marin County,246248,40
CA,6041,2008,Marin County,248398,14
CA,6041,2009,Marin County,246711,33
CA,6041,2010,Marin County,248601,28
CA,6041,2011,Marin County,250666,13
CA,6041,2012,Marin County,252759,37
CA,6041,2013,Marin County,254643,39
CA,6041,2014,Marin County,256802,10
CA,6045,2007,Mendocino County,87071,18
CA,6045,2009,Mendocino County,86030,12
CA,6045,2010,Mendocino County,87487,11
CA,6045,2011,Mendocino County,87525,13
CA,6045,2013,Mendocino County,87497,20
CA,6045,2014,Mendocino County,87612,21
CA,6047,2007,Merced County,248540,16
CA,6047,2008,Merced County,250538,22
CA,6047,2009,Merced County,242235,16
CA,6047,2010,Merced County,250699,23
CA,6047,2011,Merced County,253606,27
CA,6047,2012,Merced County,256398,30
CA,6047,2013,Merced County,258707,26
CA,6047,2014,Merced County,261609,26
CA,6053,2007,Monterey County,402376,15
CA,6053,2008,Monterey County,406022,43
CA,6053,2009,Monterey County,404922,33
CA,6053,2010,Monterey County,407435,36
CA,6053,2011,Monterey County,411385,37
CA,6053,2012,Monterey County,416199,37
CA,6053,2013,Monterey County,420569,50
CA,6053,2014,Monterey County,424927,37
CA,6055,2007,Napa County,132583,10
CA,6055,2008,Napa County,134093,11
CA,6055,2009,Napa County,132173,11
CA,6055,2010,Napa County,134051,13
CA,6055,2012,Napa County,136644,14
CA,6055,2013,Napa County,137837,12
CA,6055,2014,Napa County,139253,11
CA,6057,2007,Nevada County,97794,11
CA,6057,2008,Nevada County,98200,11
CA,6057,2011,Nevada County,98392,12
CA,6057,2012,Nevada County,98521,22
CA,6057,2013,Nevada County,98509,23
